site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,26.7478,115.0631,28,6,330,390
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2010/01/01,8,1,8,160,0,0,N\A
1,2010/01/09,25,6,0,136,7,2,N\A
1,2010/01/17,36,6,0,136,0,0,N\A
1,2010/01/25,1,0,105,160,248,248,N\A
1,2010/02/02,29,7,0,192,4,1,N\A
1,2010/02/10,9,2,0,192,6,1,N\A
1,2010/02/18,38,9,0,192,6,2,N\A
1,2010/02/26,27,6,16,136,0,0,N\A
1,2010/03/06,37,9,0,136,3,1,N\A
1,2010/03/14,27,8,0,128,4,1,N\A
1,2010/03/22,37,8,0,136,0,0,N\A
1,2010/03/30,40,12,0,136,3,1,N\A
1,2010/04/07,5,1,105,160,248,248,N\A
1,2010/04/15,2,0,105,160,248,248,N\A
1,2010/04/23,47,14,0,136,4,2,N\A
1,2010/05/01,49,15,0,136,3,1,N\A
1,2010/05/09,6,1,105,160,248,248,N\A
1,2010/05/17,42,17,0,192,4,2,N\A
1,2010/05/25,63,26,0,136,3,2,N\A
1,2010/06/02,66,31,0,136,3,3,N\A
1,2010/06/10,6,1,105,160,248,248,N\A
1,2010/06/18,4,1,8,160,0,0,N\A
1,2010/06/26,72,32,0,128,4,4,N\A
1,2010/07/04,72,27,8,200,4,3,N\A
1,2010/07/12,45,18,16,192,3,2,N\A
1,2010/07/20,34,8,8,160,6,2,N\A
1,2010/07/28,67,24,0,136,4,3,N\A
1,2010/08/05,68,25,16,128,4,3,N\A
1,2010/08/13,63,21,16,192,4,2,N\A
1,2010/08/21,68,25,16,136,4,3,N\A
1,2010/08/29,40,13,0,192,4,2,N\A
1,2010/09/06,71,30,0,136,3,3,N\A
1,2010/09/14,73,32,0,136,3,3,N\A
1,2010/09/22,1,0,105,160,248,248,N\A
1,2010/09/30,66,25,0,136,3,2,N\A
1,2010/10/08,10,2,105,160,248,248,N\A
1,2010/10/16,47,11,0,192,4,1,N\A
1,2010/10/24,56,15,0,136,4,2,N\A
1,2010/11/01,65,20,0,136,3,2,N\A
1,2010/11/09,48,12,0,136,3,1,N\A
1,2010/11/17,36,8,16,192,7,2,N\A
1,2010/11/25,54,14,0,200,5,2,N\A
1,2010/12/03,40,10,0,128,4,1,N\A
1,2010/12/11,26,6,0,136,0,0,N\A
1,2010/12/19,44,8,16,136,4,1,N\A
1,2010/12/27,38,6,0,136,4,1,N\A
